# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
952,4.505508164,64.7771156,32.00581554,0,0.146295972,1.351946241,1.334784955,0,0,0,0.036552867,0.196644125,0,0.093817316,0,0,0.057027388
953,6.689562678,61.54106691,30.75122808,0,1.683387967,1.450510735,2.768810037,0,0,0,0.058880012,0.087679596,0,1.587679989,0,0,0.070756675
959,5.133126435,66.47814519,28.53120665,0,0.400353576,1.382369323,2.1985982,0,0,0,0.204819949,0.176313946,0,0.516339308,0.045707458,0,0.066146394
975,1.147250534,83.80878274,16.08657698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104640287
999,1.377803325,81.26378862,17.64436957,0,0,0.04453636,0.945380404,0,0,0,0.025386816,0,0,0,0.076538232,0,0
1010,1.055317002,84.98241442,14.82221304,0,0,0,0,0,0,0,0,0,0.102533542,0,0.092838994,0,0
1043,1.386958265,84.07606179,15.78473123,0,0,0,0,0,0,0,0,0,0,0,0.139206979,0,0
1075,3.870949007,81.31859446,17.15673711,0.07219086,0.133190595,0.168466133,0.603759321,0,0.09882672,0.054287911,0.025480166,0.235369065,0.133097663,0,0,0,0
1126,1.031053598,85.28183999,14.58425028,0,0,0,0,0,0,0,0,0,0,0,0.133909731,0,0
1129,1.661000816,84.27901526,15.61494241,0,0,0,0,0,0,0,0,0,0,0,0.106042328,0,0
1149,1.868943361,83.38492233,16.40006286,0,0,0,0.096888349,0,0,0,0,0,0,0,0.118126469,0,0
1166,3.543214423,82.87613552,17.02604968,0,0,0,0,0,0,0,0,0,0,0,0.097814803,0,0
1167,1.691203305,78.02434734,20.27826843,0,0.105247718,0.488198984,0.6466238,0,0,0,0.071722738,0.068211192,0.245020635,0,0.072359155,0,0
1186,1.136165728,85.76549185,14.1180243,0,0,0,0,0,0,0,0,0,0,0,0.116483856,0,0
1256,1.262777606,84.738949,15.16693568,0,0,0,0,0,0,0,0,0,0,0,0.094115325,0,0
1281,1.018705205,85.05264479,14.84141517,0,0,0,0,0,0,0,0,0,0,0,0.105940039,0,0
1301,1.113665169,86.71805458,13.15135798,0,0,0,0,0,0,0,0,0,0,0,0.130587445,0,0
