# Id ,Class ,Area (µm²) ,Aspect Ratio ,Breadth (µm) ,Direction (°) ,ECD (µm) ,Length (µm) ,Perimeter (µm) ,Shape ,Stage X ,Stage Y ,Count ,C  Apparent Concentration (%) ,C   k ratio ,C  Wt% ,C   Wt% ? ,O  Apparent Concentration (%) ,O   k ratio ,O  Wt% ,O   Wt% ? ,Na Apparent Concentration (%) ,Na  k ratio ,Na Wt% ,Na  Wt% ? ,Mg Apparent Concentration (%) ,Mg  k ratio ,Mg Wt% ,Mg  Wt% ? ,Al Apparent Concentration (%) ,Al  k ratio ,Al Wt% ,Al  Wt% ? ,Si Apparent Concentration (%) ,Si  k ratio ,Si Wt% ,Si  Wt% ? ,P  Apparent Concentration (%) ,P   k ratio ,P  Wt% ,P   Wt% ? ,S  Apparent Concentration (%) ,S   k ratio ,S  Wt% ,S   Wt% ? ,Cl Apparent Concentration (%) ,Cl  k ratio ,Cl Wt% ,Cl  Wt% ? ,K  Apparent Concentration (%) ,K   k ratio ,K  Wt% ,K   Wt% ? ,Ca Apparent Concentration (%) ,Ca  k ratio ,Ca Wt% ,Ca  Wt% ? ,Mn Apparent Concentration (%) ,Mn  k ratio ,Mn Wt% ,Mn  Wt% ? ,Fe Apparent Concentration (%) ,Fe  k ratio ,Fe Wt% ,Fe  Wt% ? ,Sc Apparent Concentration (%) ,Sc  k ratio ,Sc Wt% ,Sc  Wt% ? ,Ti Apparent Concentration (%) ,Ti  k ratio ,Ti Wt% ,Ti  Wt% ? ,Co Apparent Concentration (%) ,Co  k ratio ,Co Wt% ,Co  Wt% ? ,Ni Apparent Concentration (%) ,Ni  k ratio ,Ni Wt% ,Ni  Wt% ? ,Cu Apparent Concentration (%) ,Cu  k ratio ,Cu Wt% ,Cu  Wt% ? ,Pb Apparent Concentration (%) ,Pb  k ratio ,Pb Wt% ,Pb  Wt% ? ,C  Normalized ,O  Normalized ,Na Normalized ,Mg Normalized ,Al Normalized ,Si Normalized ,P  Normalized ,S  Normalized ,Cl Normalized ,K  Normalized ,Ca Normalized ,Mn Normalized ,Fe Normalized ,Sc Normalized ,Ti Normalized ,Co Normalized ,Ni Normalized ,Cu Normalized ,Pb Normalized
88659,0,5.963817291,1.572750209,2.492450537,52.03125,2.755606651,3.920002103,10.51576811,1.475529198,-0.289118898,-0.626532436,321411,27.85355151,0.278535515,50.54204464,0.277616084,7.306040078,0.024585571,17.6453948,0.264781131,0,0,0,0,0.105149054,0.000697362,0.127304764,0.023398451,0.574048283,0.004123011,0.632145815,0.026776583,1.266075578,0.01003246,1.331666671,0.029120472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136671076,0.001221136,0.139762857,0.019414049,0.296962936,0.002969629,0.381037523,0.035864269,0,0,0,0,0.13028268,0.001302827,0.176656398,0.051560195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88670,0,0.854813812,1.341635959,0.996980215,71.71875,1.04325584,1.337584507,3.448576073,1.107128999,-0.254443849,-0.623461762,310674,24.73523319,0.247352332,28.35620344,0.164218352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088673225,0.000702652,0.08692405,0.014997981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135475025,0.00135475,0.186166982,0.045673089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88693,0,1.769265796,1.699672241,1.196376258,33.75,1.500899456,2.033447515,5.085061763,1.163026254,-0.187904696,-0.620149214,315255,26.37340724,0.263734072,44.20257211,0.241319975,5.891425908,0.01982525,14.78547901,0.239036139,0,0,0,0,0,0,0,0,0,0,0,0,0.300272624,0.002379379,0.313515193,0.019702764,0,0,0,0,0.389859197,0.003358484,0.395416096,0.020349058,0,0,0,0,0,0,0,0,0.711077591,0.006353373,0.72615766,0.02407939,0.071105041,0.00071105,0.09125722,0.029908365,0,0,0,0,0.159777573,0.001597776,0.216713082,0.048875372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88707,0,0.81505503,1.220518214,0.986960059,68.90625,1.018705205,1.204602728,3.148800111,0.96804019,-0.224148529,-0.617585054,324001,30.71200252,0.307120025,39.34078515,0.19157913,3.015889972,0.010148778,8.392480016,0.192233268,0,0,0,0,0,0,0,0,0,0,0,0,0.070443976,0.000558202,0.071707147,0.016247333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88720,0,1.153004676,1.581133141,0.996980215,26.71875,1.211631606,1.576358458,3.904957321,1.052426198,-0.239950524,-0.614251202,325385,32.73949325,0.327394933,42.85372794,0.208910624,3.235976398,0.010889391,8.981408924,0.204893621,0,0,0,0,0,0,0,0,0,0,0,0,0.082482968,0.0006536,0.084310625,0.017194702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187648658,0.001876487,0.256485143,0.048748954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88749,0,0.795175639,2.036114401,0.774199356,116.71875,1.006205281,1.576358458,3.826654678,1.465431812,-0.297215793,-0.607523746,316499,26.36641264,0.263664126,28.66472602,0.146442873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079962844,0.00063363,0.078629586,0.015224908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182239956,0.0018224,0.250944076,0.04492609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88770,0,0.993969548,1.638082494,0.981373724,15.46875,1.124971704,1.607571118,3.872523304,1.200618792,-0.297370625,-0.603153391,318160,32.14709461,0.321470946,41.61593318,0.203887653,2.89591644,0.009745055,8.149892092,0.197252445,0,0,0,0,0,0,0,0,0,0,0,0,0.09215434,0.000730237,0.093925727,0.017148202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161236164,0.001612362,0.220516347,0.048886327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88778,0,1.550592496,1.300504903,1.268948647,19.6875,1.405089208,1.650273937,4.328904553,0.961719625,-0.2631132,-0.601775979,325688,36.76525652,0.367652565,47.38474488,0.224194094,3.702065721,0.012457829,10.22939608,0.224195723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173180318,0.001731803,0.236756122,0.0509876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88782,0,18.66674812,1.265514166,5.168268503,7.03125,4.875165831,6.540517004,23.48904716,2.352080971,-0.188663229,-0.603232215,324504,30.80781698,0.30807817,40.79804718,0.204297295,3.785497323,0.012738585,10.13825536,0.210822164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165916549,0.001659165,0.226556836,0.050264859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88784,0,0.934331376,1.151618527,1.09505599,116.71875,1.090700534,1.261086767,3.416142056,0.99394201,-0.184159916,-0.600539053,313527,24.95035082,0.249503508,32.41509497,0.1699507,2.592260204,0.00872322,7.126536965,0.17307254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14800831,0.001480083,0.202255021,0.044752852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
